City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,Mezen',65.8522,44.24,28.87,83,100,8.32,RU,1650419209
316,Gilgit,35.9221,74.3087,61.36,68,72,1.66,PK,1650419209
317,Aswān,24.0934,32.907,76.3,25,0,12.66,EG,1650419137
318,Tilichiki,60.4667,166.1,24.71,80,59,4.68,RU,1650419210
319,Mabaruma,8.2,-59.7833,73.94,86,66,3.6,GY,1650419210
320,Amahai,-3.3333,128.9167,86.74,65,48,3.4,ID,1650419210
321,Maningrida,-12.0667,134.2667,89.65,53,54,11.41,AU,1650419211
322,Ancud,-41.8697,-73.8203,47.23,84,2,4.43,CL,1650419200
323,Rawson,-43.3002,-65.1023,61.57,44,99,5.03,AR,1650419211
324,Terre Haute,39.4667,-87.4139,50.27,46,0,0.0,US,1650419102
325,Gachsaran,30.3586,50.7981,60.89,36,0,0.0,IR,1650419212
326,Atar,20.5169,-13.0499,80.82,21,23,5.77,MR,1650419212
327,George Town,5.4112,100.3354,84.13,87,20,3.44,MY,1650419212
328,Marystown,47.1666,-55.1483,33.85,100,100,5.01,CA,1650419213
329,Chadiza,-14.0678,32.4392,62.06,96,99,6.33,ZM,1650419213
330,Jasdan,22.0333,71.2,80.24,64,90,15.5,IN,1650419213
331,Singaparna,-7.3515,108.111,75.74,84,100,1.32,ID,1650419213
332,Staryy Nadym,65.6118,72.6842,31.77,98,100,14.23,RU,1650419214
333,Mossamedes,-15.1961,12.1522,75.63,78,100,3.27,AO,1650419214
334,Pathein,16.7833,94.7333,88.65,51,13,5.95,MM,1650419215
335,Quimperlé,47.8667,-3.55,47.12,84,0,6.91,FR,1650419215
336,Bac Lieu,9.285,105.7244,86.72,62,48,17.27,VN,1650419215
337,Hasaki,35.7333,140.8333,55.8,75,100,10.13,JP,1650419215
338,Skjervøy,70.0311,20.9714,41.99,77,62,11.05,NO,1650419216
339,Mlimba,-8.8,35.8167,70.63,94,89,2.01,TZ,1650419216
340,Cedar City,37.6775,-113.0619,67.17,10,0,23.02,US,1650418952
341,Ergani,38.2653,39.7621,49.46,85,70,3.36,TR,1650419217
342,Englehart,47.8169,-79.8664,34.36,60,75,26.46,CA,1650419192
343,Östersund,63.1792,14.6357,39.65,75,20,3.44,SE,1650419217
344,Bereket,39.2446,55.5154,61.68,55,0,10.13,TM,1650419217
345,Nabire,-3.3667,135.4833,87.01,65,99,4.97,ID,1650419218
346,San Rafael del Sur,11.8485,-86.4384,85.17,68,42,2.91,NI,1650419218
347,Øksfjord,70.2396,22.3479,39.27,80,89,7.27,NO,1650419218
348,Caraballeda,10.6112,-66.8522,83.37,80,81,8.41,VE,1650419219
349,Elko,41.0002,-115.5012,46.42,62,100,7.0,US,1650419104
350,Rocky Mountain House,52.3668,-114.9188,30.31,100,100,10.36,CA,1650419219
351,Tombouctou,20.0,-3.0,74.53,10,0,8.72,ML,1650419219
352,Chumikan,54.7183,135.315,31.62,95,100,6.51,RU,1650419220
